strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
base_top10_stop10_take20,2020-10-31,0.01704843531195969,43628.33287316837,2602709.6840258194,2559081.351152651,10,True
base_top10_stop10_take20,2020-11-30,0.009990159037071062,26001.48367074291,2628711.167696562,2602709.6840258194,10,True
base_top10_stop10_take20,2020-12-31,-0.0016682403052737736,-4385.3219208746905,2624325.8457756876,2628711.167696562,10,True
base_top10_stop10_take20,2021-01-31,0.022213805645777965,58296.264289253006,2682622.1100649405,2624325.8457756876,10,True
base_top10_stop10_take20,2021-02-28,-0.010848915276802892,-29103.53999177274,2653518.570073168,2682622.1100649405,10,True
base_top10_stop10_take20,2021-03-31,0.023758129181226065,63042.63697258059,2716561.2070457484,2653518.570073168,10,True
base_top10_stop10_take20,2021-04-30,-0.00032556445499393026,-884.4157688295023,2715676.7912769187,2716561.2070457484,10,True
base_top10_stop10_take20,2021-05-31,0.005506093322601889,14952.769846794765,2730629.5611237134,2715676.7912769187,10,True
base_top10_stop10_take20,2021-06-30,-0.00035391887459716265,-966.4213412146488,2729663.1397824986,2730629.5611237134,10,True
base_top10_stop10_take20,2021-07-31,0.004107440585390438,11211.929164786927,2740875.0689472854,2729663.1397824986,10,True
base_top10_stop10_take20,2021-08-31,-0.016174910619929393,-44333.40926061515,2696541.65968667,2740875.0689472854,10,True
base_top10_stop10_take20,2021-09-30,0.034869240209305055,94026.35886601263,2790568.018552683,2696541.65968667,10,True
base_top10_stop10_take20,2021-10-31,-0.006767706970659851,-18885.74663125944,2771682.2719214233,2790568.018552683,10,True
base_top10_stop10_take20,2021-11-30,0.014925325850393625,41368.26106218655,2813050.53298361,2771682.2719214233,10,True
base_top10_stop10_take20,2021-12-31,-0.01884510095179525,-53012.22127657756,2760038.3117070324,2813050.53298361,10,True
base_top10_stop10_take20,2022-01-31,0.00821733438746427,22680.15772950903,2782718.469436541,2760038.3117070324,10,True
base_top10_stop10_take20,2022-02-28,0.0007110972709695809,1978.7835094929735,2784697.252946034,2782718.469436541,10,False
base_top10_stop10_take20,2022-03-31,-0.01386866520612124,-38620.03390151406,2746077.21904452,2784697.252946034,10,True
base_top10_stop10_take20,2022-04-30,0.0015675707926682833,4304.670442985934,2750381.889487506,2746077.21904452,10,False
base_top10_stop10_take20,2022-05-31,-0.027760237307468426,-76351.25393833657,2674030.6355491695,2750381.889487506,10,False
base_top10_stop10_take20,2022-06-30,0.02317641763919596,61974.45078949216,2736005.0863386616,2674030.6355491695,10,False
